Name,date,Open,High,Low,Close,volume
Adani Enterprises,1-2-19,"21,688.00","21,726.50","21,593.75",21647,8998943
Apollo Hospitals,1-2-19,"21,529.30","21,641.85","21,448.65",21619,58791957
Asian Paints,1-2-19,"21,653.60","21,724.45","21,517.85",21545,542711
Axis Bank,1-2-19,"21,747.60","21,763.95","21,492.90",21513,4569061
Bajaj Auto,1-2-19,"21,705.75","21,749.60","21,629.20",21711,1148391
Bajaj Finance,1-2-19,"21,605.80","21,685.65","21,564.55",21659,4967472
Bajaj Finserv,1-2-19,"21,661.10","21,677.00","21,500.35",21517,2405384
Bharat Petroleum,1-2-19,"21,751.35","21,755.60","21,555.65",21666,2746370
Bharti Airtel,1-2-19,"21,727.75","21,834.35","21,680.85",21742,2799092
Britannia Industries,1-2-19,"21,737.65","21,770.30","21,676.90",21731,2753765
Cipla,1-2-19,"21,715.00","21,801.45","21,678.00",21779,1965869
Coal India,1-2-19,"21,497.65","21,675.75","21,495.80",21655,2488043
Divi's Labs,1-2-19,"21,365.20","21,477.15","21,329.45",21441,547808
Dr. Reddy’s Labs,1-2-19,"21,295.85","21,390.50","21,232.45",21349,1394264
Eicher Motors,1-2-19,"21,033.95","21,288.35","20,976.80",21255,2752002
Grasim Industries,1-2-19,"21,543.50","21,593.00","21,087.35",21150,3987216
HCL Tech,1-2-19,"21,477.65","21,505.05","21,337.75",21453,1650687
HDFC Bank,1-2-19,"21,434.80","21,482.80","21,365.35",21419,1914657
Hero MotoCorp,1-2-19,"21,287.45","21,492.30","21,235.30",21457,1268722
Hindustan Unilever,1-2-19,"21,110.40","21,210.90","21,074.45",21183,9198092
Hindalco Industries,1-2-19,"20,929.75","20,950.00","20,769.50",20926,844901
ICICI Bank,1-2-19,"21,018.55","21,037.90","20,867.15",20906,375524
IndusInd Bank,1-2-19,46.67,46.89,46.09,46,483694
Infosys,1-2-19,47.11,47.1799,46.42,47,935107
ITC,1-2-19,63.38,63.6,62.6,63,548782
JSW Steel,1-2-19,57.06,57.37,56.43,57,437600
Kotak Mahindra Bank,1-2-19,36.665,36.965,36.275,37,900234
Larsen & Toubro,1-2-19,44.08,44.18,43.27,44,992872
Mahindra & Mahindra,1-2-19,54.09,54.45,53.5,54,1909106
Maruti Suzuki,1-2-19,132.46,133.82,130.54,133,760197
Adani Ports & SEZ,1-2-19,17.69,17.69,17.37,18,7785873
NTPC,1-2-19,3.85,3.98,3.84,4,20569754
ONGC,1-2-19,52.43,52.52,51.9,52,570244
Power Grid,1-2-19,114.36,116.19,114.06,116,2529728
Reliance Industries,1-2-19,215.92,216.69,211.79,213,285563
SBI,1-2-19,114.58,114.81,113.42,114,783767
Sun Pharma,1-2-19,79.51,79.74,78.85,79,1701345
Tata Consultancy,1-2-19,398.8,399.36,394.02,398,2140246
Tata Consumer Products,1-2-19,58.2,59.07,57.2601,58,2868883
Tata Motors,1-2-19,86.44,87.15,85.29,86,276882
Tata Steel Ltd,1-2-19,92,92.01,90.62,91,1432038
Tech Mahindra,1-2-19,83.36,83.7,82.26,82,1209157
